date;ePAR;Temperature;RelativeHumidity;Co2;DewPoint;VPD;Pressure
Dec 11 2023 3:00:00 PM;155,948;19,507;55,421;529;10,346;1,012;98,22
Dec 11 2023 3:10:00 PM;110,945;19,248;56,038;528,5;10,271;0,983;98,22
Dec 15 2023 1:30:00 PM;151,794;16,664;44,132;516;4,424;1,061;99,53
Dec 15 2023 1:40:00 PM;140,284;16,568;44,224;518;4,367;1,053;99,51
Dec 15 2023 1:50:00 PM;133,986;16,668;44,233;533;4,461;1,06;99,515
Dec 15 2023 2:00:00 PM;132,173;16,896;43,473;524,5;4,419;1,09;99,5
Dec 15 2023 2:10:00 PM;141,327;16,395;44,715;518,5;4,367;1,032;99,49
Dec 15 2023 2:20:00 PM;154,196;16,295;44,926;527,5;4,343;1,022;99,49
Dec 15 2023 2:30:00 PM;179,01;16,978;45,013;522,5;4,991;1,066;99,49
Dec 15 2023 2:40:00 PM;180,828;19,476;39,887;517,5;5,507;1,363;99,49
Dec 15 2023 2:50:00 PM;192,52;18,922;40,176;520,5;5,114;1,31;99,49
Dec 15 2023 3:00:00 PM;210,033;19,466;39,538;515;5,371;1,37;99,5
Dec 15 2023 3:10:00 PM;218,831;18,911;41,619;514;5,611;1,278;99,51
Dec 15 2023 3:20:00 PM;206,618;19,832;38,685;522;5,385;1,421;99,51
Dec 15 2023 3:30:00 PM;171,209;18,731;41,187;517,5;5,3;1,273;99,52
Dec 15 2023 3:40:00 PM;142,547;20,045;39,556;516;5,894;1,419;99,51
Dec 15 2023 3:50:00 PM;137,282;20,015;38,815;519;5,595;1,434;99,515
Dec 15 2023 4:00:00 PM;124,584;18,604;42,166;517,5;5,523;1,242;99,525
Dec 15 2023 4:10:00 PM;111,653;19,356;41,534;513,5;5,98;1,315;99,545
Dec 15 2023 4:20:00 PM;86,431;19,016;42,133;514;5,882;1,275;99,55
Dec 15 2023 4:30:00 PM;72,431;19,01;42,58;521;6,029;1,264;99,555
Dec 15 2023 4:40:00 PM;64,418;18,888;42,889;517,5;6,023;1,248;99,56
Dec 15 2023 4:50:00 PM;54,364;17,478;44,575;515;5,303;1,108;99,56
Dec 15 2023 5:00:00 PM;37,853;16,648;46,559;519;5,174;1,014;99,57
Dec 15 2023 5:10:00 PM;18,583;16,265;47,736;517,5;5,182;0,968;99,575
Dec 15 2023 5:20:00 PM;6,794;14,397;52,306;522;4,774;0,783;99,585
Dec 15 2023 5:30:00 PM;2,5;13,915;54,671;524;4,959;0,722;99,595
Dec 15 2023 5:40:00 PM;0,336;13,472;57,122;532;5,174;0,663;99,61
Dec 15 2023 5:50:00 PM;0;13,066;58,274;542;5,081;0,628;99,63
Dec 15 2023 6:00:00 PM;0;12,786;59,423;536;5,098;0,6;99,645
Dec 15 2023 6:10:00 PM;0;12,656;60,042;537;5,125;0,586;99,655
Dec 15 2023 6:20:00 PM;0;12,493;61,819;540;5,39;0,554;99,67
Dec 15 2023 6:30:00 PM;0;12,324;63,488;538;5,612;0,524;99,68
Dec 15 2023 6:40:00 PM;0;12,078;65,043;548,5;5,728;0,493;99,675
Dec 15 2023 6:50:00 PM;0;11,889;66,221;545;5,807;0,471;99,68
Dec 15 2023 7:00:00 PM;0;11,689;66,477;563;5,672;0,461;99,675
Dec 15 2023 7:10:00 PM;0;11,386;65,668;566;5,209;0,463;99,67
Dec 15 2023 7:20:00 PM;0;11,167;65,8;549,5;5,03;0,455;99,67
Dec 15 2023 7:30:00 PM;0;11,102;65,762;552;4,959;0,453;99,685
Dec 15 2023 7:40:00 PM;0;10,881;65,937;558;4,788;0,444;99,675
Dec 15 2023 7:50:00 PM;0;10,834;66,492;558,5;4,862;0,436;99,66
Dec 15 2023 8:00:00 PM;0;10,609;67,617;563;4,888;0,415;99,655
Dec 15 2023 8:10:00 PM;0;10,508;67,53;578,5;4,773;0,413;99,655
Dec 15 2023 8:20:00 PM;0;10,509;68,588;588,5;4,996;0,4;99,655
Dec 15 2023 8:30:00 PM;0;10,29;68,809;594;4,834;0,391;99,645
Dec 15 2023 8:40:00 PM;0;10,212;69,235;604,5;4,847;0,384;99,675
Dec 15 2023 8:50:00 PM;0;10,197;69,915;624,5;4,973;0,375;99,685
Dec 15 2023 9:00:00 PM;0;10,112;70,161;633;4,941;0,37;99,695
Dec 15 2023 9:10:00 PM;0;9,986;70,159;598;4,82;0,367;99,71
