Id,date,ePAR,Temperature,RelativeHumidity,Co2,Pressure,VPD,DewPoint,FanRPM,SP_522,SQ_618
4849,2024-02-21 12:15:20,254.4,21.57,44.7,532,99.05,1.39,8.89,39.63,172.7,NA
4850,2024-02-21 12:20:20,209.4,23.2,38,522,99.03,1.74,8.07,39.96,133.3,NA
4851,2024-02-21 12:25:20,301.7,24.55,37,498,99.03,1.97,8.96,40.28,239.4,NA
4852,2024-02-21 12:30:00,292.5,21.63,42.6,493,99.03,1.48,8.3,40.28,180.8,NA
4853,2024-02-21 12:35:00,483,26.24,39.9,486,99.01,2.07,11.53,39.96,133.7,NA
4854,2024-02-21 12:40:00,412.8,25.51,40.5,486,99.01,1.94,11.22,40.28,93.4,NA
4855,2024-02-21 12:45:20,489.2,24.62,42.6,497,98.99,1.79,11.06,39.32,103.9,NA
4856,2024-02-21 12:50:20,503.7,23.17,42.4,470,98.99,1.81,9.76,39.63,115.2,NA
4857,2024-02-21 12:55:20,651.8,27.03,43.6,478,98.97,1.99,14.03,39.96,155.7,NA
4858,2024-02-21 13:00:20,319.9,27.07,38.3,488,98.97,2.22,11.71,39.32,110.1,NA
4859,2024-02-21 13:05:00,284.5,25.06,39.7,484,98.95,1.99,10.58,39.32,106.7,NA
4860,2024-02-21 13:10:20,495.6,25.01,40.4,494,98.96,1.89,10.62,39.63,134.8,NA
4861,2024-02-21 13:15:00,270.2,26.76,41.4,485,98.95,2.07,12.4,39.96,103.7,NA
4862,2024-02-21 13:20:20,530.7,25.59,37.6,485,98.94,2.01,10.22,39.96,141.1,NA
4863,2024-02-21 13:25:20,266.7,23.66,41.9,494,98.94,1.62,9.47,40.28,104.6,NA
4864,2024-02-21 13:30:00,343,26.24,40.8,483,98.93,2.04,11.88,40.62,115.3,NA
4865,2024-02-21 13:35:20,411.3,25.49,37.7,495,NA,2.05,10.03,39.63,122.6,NA
4866,2024-02-21 13:40:20,255.3,21.76,41.4,492,98.92,1.51,8.06,39.63,95.3,NA
4867,2024-02-21 13:45:00,217.9,25.76,37.8,497,98.9,2.07,10.29,39.63,90.1,NA
4868,2024-02-21 13:50:00,334.2,25.16,39.4,493,98.89,1.93,10.41,39.63,116.9,NA
4869,2024-02-21 13:55:20,285.9,NA,39.7,490,98.88,1.92,10.77,39.96,110.9,NA
4870,2024-02-21 14:00:00,237.6,26.16,43.1,488,98.87,1.92,12.61,39.96,102.1,NA
4871,2024-02-21 14:05:20,277.1,24.99,38.4,495,98.86,1.98,9.84,39.63,110.8,NA
4872,2024-02-21 14:10:00,217,25.13,40.5,493,98.85,1.88,10.7,40.28,94.9,NA
4873,2024-02-21 14:15:20,211.6,24.36,40.2,486,98.84,1.83,10.01,39.32,94.5,NA
4874,2024-02-21 14:20:00,200.8,21.68,NA,497,98.84,1.42,8.33,40.28,93.6,NA
4875,2024-02-21 14:25:20,215.8,21.46,44,483,98.82,1.44,8.22,39.63,100.6,NA
4876,2024-02-21 14:30:00,269.2,24.65,41.5,490,98.82,1.81,10.73,40.62,174.5,NA
4877,2024-02-21 14:35:00,232.7,24.75,41.5,487,98.81,1.82,10.76,39.96,123,NA
4878,2024-02-21 14:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4879,2024-02-21 14:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4880,2024-02-21 14:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4881,2024-02-21 14:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
