"Id","date","GePAR","Temperature","RelativeHumidity","Co2","Pressure","VPD","DewPoint","FanRPM","SP_522","SQ_618"
"5394","2024-02-23 18:50:00","0.2","16.32","45.1","574","97.04","1","4.37","NA","6552.3","NA"
"5395","2024-02-23 18:55:20","0","15.68","45.7","559","97.04","0.96","4.03","40.28","6552.3","NA"
"5396","2024-02-23 19:00:20","0","15.41","47","533","97.05","0.92","4.15","39.63","6552.4","NA"
"5397","2024-02-23 19:05:20","0","15.07","47.2","535","97.06","0.89","3.9","39.96","6552.4","NA"
"5398","2024-02-23 19:10:20","0","14.81","47.1","525","97.08","0.89","3.64","39.63","6552.3","NA"
"5399","2024-02-23 19:15:20","0","14.64","47.5","521","97.08","NA","3.75","40.62","6552.4","NA"
"5400","2024-02-23 19:20:00","0","14.48","47.6","526","97.08","0.85","3.46","39.63","6552.6","NA"
"5401","2024-02-23 19:25:00","0","14.34","47.2","513","97.09","0.85","3.4","39.32","6552.4","NA"
"5402","2024-02-23 19:30:20","0","14.13","48.2","516","97.09","0.82","3.34","39.32","6552.4","NA"
"5403","2024-02-23 19:35:19","0","14.02","49.1","518","97.09","0.81","3.49","NA","6552.5","NA"
"5404","2024-02-23 19:40:00","0","13.79","49.8","512","97.09","0.79","3.49","39.32","6552.6","NA"
"5405","2024-02-23 19:45:00","0","13.65","48.8","525","97.1","0.79","3.1","39.32","6552.5","NA"
"5406","2024-02-23 19:50:20","0","13.52","50.1","517","97.1","0.77","3.34","39.63","6552.5","NA"
"5407","2024-02-23 19:55:20","0","13.48","50.8","517","97.11","0.76","3.52","39.63","6552.6","NA"
"5408","2024-02-23 20:00:00","0","13.31","50.9","NA","97.12","0.75","3.46","39.63","6552.6","NA"
"5409","2024-02-23 20:05:19","0","13.29","52.4","517","97.12","0.72","3.64","39.32","6552.6","NA"
"5410","2024-02-23 20:10:20","0","13.18","52.6","519","97.13","0.71","3.72","39.63","6552.8","NA"
"5411","2024-02-23 20:15:20","0","13.04","53.4","516","97.13","0.69","3.79","39.32","6552.6","NA"
"5412","2024-02-23 20:20:00","0","12.8","53.2","516","97.13","0.69","3.52","40.28","6552.8","NA"
"5413","2024-02-23 20:25:00","0","12.88","54.6","522","97.13","0.67","4","39.63","6552.7","NA"
"5414","2024-02-23 20:30:20","0","12.6","54.9","527","97.14","0.66","3.75","39.63","6552.9","NA"
"5415","2024-02-23 20:35:20","0","12.64","55.9","514","97.14","0.64","4.05","39.63","6552.9","NA"
"5416","2024-02-23 20:40:20","0","12.49","57.2","522","97.14","0.62","4.28","39.32","6552.7","NA"
"5417","2024-02-23 20:45:20","0","12.37","57.7","531","97.14","0.6","4.26","39.63","6552.9","NA"
"5418","2024-02-23 20:50:00","0","12.33","58.3","530","97.14","0.59","4.5","39.63","6552.7","NA"
"5419","2024-02-23 20:55:00","0","12.15","58.5","522","97.13","0.58","4.28","39.96","6552.8","NA"
"5420","2024-02-23 21:00:20","0","12.28","57.5","523","97.13","0.6","4.1","39.63","6552.9","NA"
"5421","2024-02-23 21:05:00","0","12.07","57.1","529","97.14","0.6","3.86","39.63","6552.8","NA"
"5422","2024-02-23 21:10:00","0","12.01","57.4","520","97.13","0.59","3.83","39","6552.9","NA"
"5423","2024-02-23 21:15:00","0","11.83","56.7","515","97.13","0.59","3.58","39.63","6552.8","NA"
"5424","2024-02-23 21:20:20","0","11.96","58.5","528","97.14","0.57","4.08","19.12","6552.8","NA"
"5425","2024-02-23 21:25:20","0","11.72","58","526","97.14","0.58","3.77","39.32","6552.9","NA"
"5426","2024-02-23 21:30:20","0","11.72","59.4","522","97.14","0.55","4.07","39.63","6552.9","NA"
"5427","2024-02-23 21:35:00","0","11.64","59.9","538","97.14","0.54","4.15","39.32","6552.8","NA"
"5428","2024-02-23 21:40:20","0","11.47","60.8","536","97.15","0.53","4.2","39.63","6552.9","NA"
"5429","2024-02-23 21:45:00","0","11.53","61.1","528","97.14","0.52","4.31","39.63","6552.7","NA"
"5430","2024-02-23 21:50:20","0","11.35","61","526","97.14","0.52","4.15","40.28","6552.8","NA"
"5431","2024-02-23 21:55:20","0","11.42","61","518","97.14","0.52","4.18","39.63","6552.8","NA"
"5432","2024-02-23 22:00:20","0","11.21","60.9","525","NA","0.52","3.97","39.63","6553","NA"
"5433","2024-02-23 22:05:00","0","11.23","61.1","519","97.12","NA","4.08","40.28","6552.8","NA"
"5434","2024-02-23 22:10:20","0","11.11","61.2","524","97.12","0.51","3.95","39.63","6552.9","NA"
"5435","2024-02-23 22:15:20","0","11.21","61.3","529","97.12","0.51","4.03","39.32","6553","NA"
"5436","2024-02-23 22:20:20","0","11.09","61.8","533","97.13","0.5","4.03","39.63","6553","NA"
"5437","2024-02-23 22:25:20","0","10.95","63","535","97.14","0.48","4.18","39","6552.9","NA"
"5438","2024-02-23 22:30:20","0","10.93","63.6","528","97.13","0.47","4.32","39.63","6552.8","NA"
"5439","2024-02-23 22:35:20","0","10.87","63.5","533","97.14","0.46","4.26","39.63","6552.8","NA"
"5440","2024-02-23 22:40:00","0","10.86","64.2","528","NA","0.46","4.39","39.63","6552.9","NA"
"5441","2024-02-23 22:45:00","0","10.79","65.5","538","97.14","0.44","4.58","39.96","6552.8","NA"
"5442","2024-02-23 22:50:00","0","10.69","65.4","528","97.13","0.44","4.47","39.63","6552.8","NA"
"5443","2024-02-23 22:55:00","0","10.74","65.1","526","97.14","0.44","4.48","39","6552.9","NA"
"5444","2024-02-23 23:00:00","0","10.58","64.8","538","97.14","0.44","4.25","39.32","6552.9","NA"
"5445","2024-02-23 23:05:00","0","10.65","62.5","530","97.14","0.47","3.77","39.63","6553","NA"
"5446","2024-02-23 23:10:20","0","10.96","62.4","527","97.13","0.49","4.05","39.96","6552.9","NA"
"5447","2024-02-23 23:15:20","0","10.86","58.6","521","97.12","0.52","2.97","39.96","6552.9","NA"
"5448","2024-02-23 23:20:20","0","10.93","58.4","527","97.12","0.53","3.05","39.63","6552.8","NA"
"5449","2024-02-23 23:25:20","0","10.64","59.4","528","97.12","0.52","2.98","39.32","6552.8","NA"
"5450","2024-02-23 23:30:00","0","10.52","60.3","517","97.13","0.5","3.2","39","6552.9","NA"
"5451","2024-02-23 23:35:00","0","10.41","61.4","523","97.12","0.48","3.21","39.63","6552.8","NA"
"5452","2024-02-23 23:40:20","0","10.36","62.4","522","97.14","0.47","3.58","39","6552.9","NA"
"5453","2024-02-23 23:45:20","0","10.41","63","519","97.14","0.46","3.73","39.63","6552.8","NA"
"5454","2024-02-23 23:50:00","0","10.51","64","522","97.13","0.45","4.01","39.63","6552.9","NA"
"5455","2024-02-23 23:55:00","0","10.36","65.2","518","97.13","0.43","4.14","39.63","6552.9","NA"
"5456","2024-02-24 00:00:00","0","10.37","66.6","524","97.13","0.41","4.42","39","6553","NA"
"5457","2024-02-24 00:05:20","0","10.38","66.7","524","97.14","0.41","4.45","39.32","6552.9","NA"
"5458","2024-02-24 00:10:20","0","10.23","66.3","526","97.14","0.41","4.21","39","6552.9","NA"
